name,email,id,password,phoneNumber,role,dateOfBirth,gender,address,isActive,status,registeredCourses,registeredSections,passedCourses,assignedCourses,assignedSections,cgpa,fees,timetable,__v,otpExpire,profilePicture
Rania El-Sayed,rania.el-sayed1@example.eg,Z6697232,$2b$10$NrwKElb7ukptsFY49t4Gt.21dWcBNPmurAKGOVOLiI6X.krZyVjKG,+20100216755,student,2015-10-16,Male,"12 El-Soudan Street, Sporting",True,Active,"[""02-24-00107"", ""02-24-00105"", ""02-24-00101"", ""02-24-00108"", ""02-24-00106""]",[],[],[],[],"[{""term"": ""Fall 2023"", ""gpa"": 2.55}]","[{""term"": ""Fall 2023"", ""amount"": 18019, ""paid"": false}]",[],0,2025-06-01T17:38:23.049224Z,
Ibrahim El-Baz,ibrahim.el-baz2@example.eg,J8966178,$2b$10$NrwKElb7ukptsFY49t4Gt.21dWcBNPmurAKGOVOLiI6X.krZyVjKG,+20100254875,student,1990-09-14,Female,"123 El-Montaza Street, El-Montaza",True,Active,"[""02-24-00110"", ""02-24-00107"", ""02-24-00101"", ""02-24-00108"", ""02-24-00102""]",[],[],[],[],"[{""term"": ""Fall 2023"", ""gpa"": 3.83}]","[{""term"": ""Fall 2023"", ""amount"": 10009, ""paid"": false}]",[],0,2025-05-23T17:38:23.050221Z,
Ibrahim Mansour,ibrahim.mansour3@example.eg,L4674655,$2b$10$NrwKElb7ukptsFY49t4Gt.21dWcBNPmurAKGOVOLiI6X.krZyVjKG,+20100371591,student,2003-06-06,Male,"12 El-Nasr Street, Smouha",True,Active,"[""02-24-00102"", ""02-24-00103"", ""02-24-00101"", ""02-24-00107"", ""02-24-00104"", ""02-24-00109""]",[],[],[],[],"[{""term"": ""Fall 2023"", ""gpa"": 2.38}]","[{""term"": ""Fall 2023"", ""amount"": 19107, ""paid"": true}]",[],0,2025-06-03T17:38:23.050221Z,
Mahmoud El-Desouky,mahmoud.el-desouky4@example.eg,O6177036,$2b$10$NrwKElb7ukptsFY49t4Gt.21dWcBNPmurAKGOVOLiI6X.krZyVjKG,+20100731861,student,2005-07-06,Male,"56 El-Gomhoreya Street, El-Raml",True,Active,"[""02-24-00110"", ""02-24-00104"", ""02-24-00106"", ""02-24-00109"", ""02-24-00101""]",[],[],[],[],"[{""term"": ""Fall 2023"", ""gpa"": 3.65}]","[{""term"": ""Fall 2023"", ""amount"": 11615, ""paid"": false}]",[],0,2025-05-22T17:38:23.050221Z,
Nour El-Sherbiny,nour.el-sherbiny5@example.eg,E7893826,$2b$10$NrwKElb7ukptsFY49t4Gt.21dWcBNPmurAKGOVOLiI6X.krZyVjKG,+20100650041,student,1996-11-09,Female,"56 El-Gomhoreya Street, El-Raml",True,Active,"[""02-24-00104"", ""02-24-00105"", ""02-24-00107"", ""02-24-00108"", ""02-24-00103"", ""02-24-00106""]",[],[],[],[],"[{""term"": ""Fall 2023"", ""gpa"": 2.76}]","[{""term"": ""Fall 2023"", ""amount"": 17354, ""paid"": true}]",[],0,2025-06-07T17:38:23.050221Z,
Mariam Naguib,mariam.naguib6@example.eg,H6452743,$2b$10$NrwKElb7ukptsFY49t4Gt.21dWcBNPmurAKGOVOLiI6X.krZyVjKG,+20100589297,student,2016-06-23,Female,"12 El-Soudan Street, Sporting",True,Active,"[""02-24-00110"", ""02-24-00106"", ""02-24-00102"", ""02-24-00109""]",[],[],[],[],"[{""term"": ""Fall 2023"", ""gpa"": 2.13}]","[{""term"": ""Fall 2023"", ""amount"": 15150, ""paid"": false}]",[],0,2025-05-21T17:38:23.050221Z,
Layla El-Sherif,layla.el-sherif7@example.eg,P9893898,$2b$10$NrwKElb7ukptsFY49t4Gt.21dWcBNPmurAKGOVOLiI6X.krZyVjKG,+20100460419,student,2009-06-05,Female,"78 El-Seyouf Street, El-Ibrahimeya",True,Active,"[""02-24-00108"", ""02-24-00109"", ""02-24-00105"", ""02-24-00101""]",[],[],[],[],"[{""term"": ""Fall 2023"", ""gpa"": 2.71}]","[{""term"": ""Fall 2023"", ""amount"": 16937, ""paid"": false}]",[],0,2025-05-29T17:38:23.050221Z,
Mahmoud Saad,mahmoud.saad8@example.eg,S8596950,$2b$10$NrwKElb7ukptsFY49t4Gt.21dWcBNPmurAKGOVOLiI6X.krZyVjKG,+20100631373,student,2014-02-24,Female,"56 El-Safa Street, Kafr Abdo",True,Active,"[""02-24-00109"", ""02-24-00101"", ""02-24-00103"", ""02-24-00108"", ""02-24-00102"", ""02-24-00104""]",[],[],[],[],"[{""term"": ""Fall 2023"", ""gpa"": 2.22}]","[{""term"": ""Fall 2023"", ""amount"": 14395, ""paid"": true}]",[],0,2025-05-27T17:38:23.050221Z,
Aya El-Masry,aya.el-masry9@example.eg,A8725406,$2b$10$NrwKElb7ukptsFY49t4Gt.21dWcBNPmurAKGOVOLiI6X.krZyVjKG,+20100332906,student,1999-01-28,Male,"90 El-Mahata Square, El-Mahata",True,Active,"[""02-24-00104"", ""02-24-00108"", ""02-24-00109"", ""02-24-00105"", ""02-24-00110""]",[],[],[],[],"[{""term"": ""Fall 2023"", ""gpa"": 3.13}]","[{""term"": ""Fall 2023"", ""amount"": 16093, ""paid"": true}]",[],0,2025-05-28T17:38:23.050221Z,
Hassan Abdelrahman,hassan.abdelrahman10@example.eg,A7763975,$2b$10$NrwKElb7ukptsFY49t4Gt.21dWcBNPmurAKGOVOLiI6X.krZyVjKG,+20100483126,student,2011-11-01,Female,"45 El-Miami Street, Sidi Gaber",True,Active,"[""02-24-00103"", ""02-24-00109"", ""02-24-00105"", ""02-24-00102""]",[],[],[],[],"[{""term"": ""Fall 2023"", ""gpa"": 2.48}]","[{""term"": ""Fall 2023"", ""amount"": 10444, ""paid"": true}]",[],0,2025-05-26T17:38:23.050221Z,
Aya El-Kady,aya.el-kady11@example.eg,U6374851,$2b$10$NrwKElb7ukptsFY49t4Gt.21dWcBNPmurAKGOVOLiI6X.krZyVjKG,+20100654597,student,2002-07-14,Male,"78 El-Salam Street, Sidi Bishr",True,Active,"[""02-24-00103"", ""02-24-00101"", ""02-24-00107"", ""02-24-00109"", ""02-24-00104"", ""02-24-00106""]",[],[],[],[],"[{""term"": ""Fall 2023"", ""gpa"": 3.28}]","[{""term"": ""Fall 2023"", ""amount"": 18086, ""paid"": true}]",[],0,2025-05-30T17:38:23.050221Z,
